plant_number,sepal_length,sepal_width,petal_length,petal_width,species
plant_1,5.1,3.5,1.4,0.2,Iris-setosa
plant_2,4.9,3,1.4,0.2,Iris-setosa
plant_3,4.7,3.2,1.3,0.2,Iris-setosa
plant_4,4.6,3.1,1.5,0.2,Iris-setosa
plant_5,5,3.6,1.4,0.2,Iris-setosa
plant_6,5.4,3.9,1.7,0.4,Iris-setosa
plant_7,4.6,3.4,1.4,0.3,Iris-setosa
plant_8,5,3.4,1.5,0.2,Iris-setosa
plant_9,4.4,2.9,1.4,0.2,Iris-setosa
plant_10,4.9,3.1,1.5,0.1,Iris-setosa
plant_11,5.4,3.7,1.5,0.2,Iris-setosa
plant_12,4.8,3.4,1.6,0.2,Iris-setosa
plant_13,4.8,3,1.4,0.1,Iris-setosa
plant_14,4.3,3,1.1,0.1,Iris-setosa
plant_15,5.8,4,1.2,0.2,Iris-setosa
plant_16,5.7,4.4,1.5,0.4,Iris-setosa
plant_17,5.4,3.9,1.3,0.4,Iris-setosa
plant_18,5.1,3.5,1.4,0.3,Iris-setosa
plant_19,5.7,3.8,1.7,0.3,Iris-setosa
plant_20,5.1,3.8,1.5,0.3,Iris-setosa
plant_21,5.4,3.4,1.7,0.2,Iris-setosa
plant_22,5.1,3.7,1.5,0.4,Iris-setosa
plant_23,4.6,3.6,1,0.2,Iris-setosa
plant_24,5.1,3.3,1.7,0.5,Iris-setosa
plant_25,4.8,3.4,1.9,0.2,Iris-setosa
plant_26,5,3,1.6,0.2,Iris-setosa
plant_27,5,3.4,1.6,0.4,Iris-setosa
plant_28,5.2,3.5,1.5,0.2,Iris-setosa
plant_29,5.2,3.4,1.4,0.2,Iris-setosa
plant_30,4.7,3.2,1.6,0.2,Iris-setosa
plant_31,4.8,3.1,1.6,0.2,Iris-setosa
plant_32,5.4,3.4,1.5,0.4,Iris-setosa
plant_33,5.2,4.1,1.5,0.1,Iris-setosa
plant_34,5.5,4.2,1.4,0.2,Iris-setosa
plant_35,4.9,3.1,1.5,0.1,Iris-setosa
plant_36,5,3.2,1.2,0.2,Iris-setosa
plant_37,5.5,3.5,1.3,0.2,Iris-setosa
plant_38,4.9,3.1,1.5,0.1,Iris-setosa
plant_39,4.4,3,1.3,0.2,Iris-setosa
plant_40,5.1,3.4,1.5,0.2,Iris-setosa
